target;v1;v2;v3;v4;v5;v6;v7;v8;sample_type
4,92;515,8666667;195,9333333;562,1333333;342,4;461,4;204;609,5333333;4217,133333;lab 2
4,74;536,4375;204;587,4375;364,5625;460,875;202,5;647,125;4573,3125;lab 2
4,98;552,875;211,8125;574,8125;366,375;465,8125;201,6875;651;4428,3125;lab 2
5,05;501,5789474;203,6315789;591,5263158;377,1578947;478,4736842;213;647,4736842;4418,684211;lab 2
4,92;515,6875;189,375;572,5;355,375;462,0625;192,6875;632,625;4709,375;lab 2
5,11;557,2666667;210,8;586,6666667;370,7333333;462,4666667;203,4666667;658,4666667;4530,333333;lab 2
5,09;504,1333333;202,0666667;574,8666667;361,5333333;478,2666667;214;676,2;4423,866667;lab 2
5,02;506,125;203,8125;598,6875;370,75;477,0625;213,8125;638,25;4598,4375;lab 2
4,93;499,4666667;201,0666667;584,6666667;378,7333333;470;207,0666667;646,3333333;4544,666667;lab 2
4,9;534,3333333;226,7333333;592,2666667;377,6;496,1333333;230,8666667;690,2;4508;lab 2
4,8;536,4;222,2666667;625;414,2666667;511,3333333;242,6;738,4666667;4495,933333;lab 2
5,01;551,6315789;225,3684211;627,7894737;406,3157895;499,4210526;237,6842105;727,1052632;4670,210526;lab 2
5,03;542,5625;211,8125;621,875;406,4375;502,125;241,25;692,1875;4820,625;lab 2
4,84;513,8125;208,125;585,5625;355,125;474,625;213,75;642,5;4705,9375;lab 2
5,03;517,75;216,75;583,25;376,125;498,9375;231,1875;677,875;4701,25;lab 2
5,08;545,75;234,5625;612,6875;399,25;506,6875;262;685,125;4423,8125;lab 2
4,83;539,6666667;236;646,2;423,4666667;511,3333333;271,4;752,2666667;4634,933333;lab 2
4,89;663,375;422,8125;722,3125;541,75;721;415,375;738,125;3836,8125;lab 2
4,44;658,4375;403,875;696,75;558,5;699,5625;404,5625;725,875;3961,4375;lab 2
4,57;593,8125;379,625;637,125;489;672,875;368,375;689,375;3836,5625;lab 2
4,14;620,875;367;659;480;668,25;364,0625;752,1875;3772,875;lab 2
4,55;602;384,6666667;663,0666667;491,2;663,6;355,8;718,9333333;3836;lab 2
4,37;605,2;376,4666667;696,2666667;533,6666667;687,6;387,8;764,2666667;3853,133333;lab 2
4,2;619,6666667;366,1333333;680,5333333;509,2666667;684,1333333;369,1333333;783,0666667;3962,666667;lab 2
4,69;651,5333333;371,6;657,5333333;485,0666667;656,6666667;355,5333333;715,1333333;3958,733333;lab 2
4,48;676,0666667;414,2;702,5333333;555,6;693,7333333;397,4;750,4;3922,866667;lab 2
4,58;672,5;412,3125;692,125;547,75;712,6875;396,125;771,25;3868,125;lab 2
4,52;641;383,4;667,1333333;535,1333333;699,4666667;371,4666667;759,2666667;3869;lab 2
4,45;614,1875;368,375;650,25;500,0625;678,6875;349;707,5625;3889,625;lab 2
4,84;601,3125;369,6875;662,75;482,8125;663,6875;355,625;706,375;3873;lab 2
4,34;616,9333333;333,6;654,6;494,5333333;655,7333333;350,2666667;723,8666667;3823;lab 2
4,65;652,6666667;410,4666667;687,5333333;552,8666667;714,7333333;389,2666667;757,6666667;3883,533333;lab 2
4,54;635,5625;332,8125;651,4375;496,625;669,75;329,4375;721,5625;3947,125;lab 2
